speciesId,nameTh,element,stage,path
MON001,เพลิงน้อย,ไฟ,1,assets/monsters/fire/stage-1/MON001.png
MON101,เพลิงพริ้ว,ไฟ,2,assets/monsters/fire/stage-2/MON101.png
MON201,อัคนีศึก,ไฟ,3,assets/monsters/fire/stage-3/MON201.png
MON301,จักรพรรดิอัคนี,ไฟ,4,assets/monsters/fire/stage-4/MON301.png
MON002,หยดน้อย,น้ำ,1,assets/monsters/water/stage-1/MON002.png
MON102,วารีเพื่อนใจ,น้ำ,2,assets/monsters/water/stage-2/MON102.png
MON202,ธาราพิทักษ์,น้ำ,3,assets/monsters/water/stage-3/MON202.png
MON302,จ้าวสมุทรา,น้ำ,4,assets/monsters/water/stage-4/MON302.png
MON003,ใบอ่อน,ธรรมชาติ,1,assets/monsters/nature/stage-1/MON003.png
MON103,พฤกษาพองาม,ธรรมชาติ,2,assets/monsters/nature/stage-2/MON103.png
MON203,วนาอัศวิน,ธรรมชาติ,3,assets/monsters/nature/stage-3/MON203.png
MON303,ราชาพฤกษา,ธรรมชาติ,4,assets/monsters/nature/stage-4/MON303.png
MON004,ช็อตจิ๋ว,สายฟ้า,1,assets/monsters/lightning/stage-1/MON004.png
MON104,ฟ้าแลบจ้อย,สายฟ้า,2,assets/monsters/lightning/stage-2/MON104.png
MON204,อสนีพิทักษ์,สายฟ้า,3,assets/monsters/lightning/stage-3/MON204.png
MON304,จ้าวพายุสายฟ้า,สายฟ้า,4,assets/monsters/lightning/stage-4/MON304.png
MON005,ดินปั้น,ดิน,1,assets/monsters/earth/stage-1/MON005.png
MON105,ศิลาน้อย,ดิน,2,assets/monsters/earth/stage-2/MON105.png
MON205,ภูผาผู้กล้า,ดิน,3,assets/monsters/earth/stage-3/MON205.png
MON305,มหาราชธรณี,ดิน,4,assets/monsters/earth/stage-4/MON305.png
MON006,แสงใส,แสง,1,assets/monsters/light/stage-1/MON006.png
MON106,รุ่งอรุณ,แสง,2,assets/monsters/light/stage-2/MON106.png
MON206,สุริยาพิทักษ์,แสง,3,assets/monsters/light/stage-3/MON206.png
MON306,เทวาแห่งรุ่งโรจน์,แสง,4,assets/monsters/light/stage-4/MON306.png
MON007,เงาจิ๋ว,ความมืด,1,assets/monsters/dark/stage-1/MON007.png
MON107,รัตติกาลน้อย,ความมืด,2,assets/monsters/dark/stage-2/MON107.png
MON207,ราชันราตรี,ความมืด,3,assets/monsters/dark/stage-3/MON207.png
MON307,จ้าวเงาจันทรา,ความมืด,4,assets/monsters/dark/stage-4/MON307.png
